participant_id,block_position,violation_type,rep_level,expected_side,preview_first
1,1,solidity,4,L,expected
1,2,support,2,L,expected
1,3,efficiency,2,R,unexpected
1,4,goal,4,R,unexpected
2,1,efficiency,4,R,unexpected
2,2,solidity,2,L,expected
2,3,goal,2,L,expected
2,4,support,4,R,unexpected
3,1,support,4,L,expected
3,2,goal,4,R,unexpected
3,3,solidity,2,R,unexpected
3,4,efficiency,2,L,expected
4,1,goal,2,L,expected
4,2,efficiency,4,L,expected
4,3,support,2,R,unexpected
4,4,solidity,4,R,unexpected
5,1,goal,4,R,unexpected
5,2,efficiency,4,L,expected
5,3,support,2,R,unexpected
5,4,solidity,2,L,expected
6,1,efficiency,2,R,unexpected
6,2,solidity,4,R,unexpected
6,3,goal,2,L,expected
6,4,support,4,L,expected
7,1,support,2,L,expected
7,2,goal,2,R,unexpected
7,3,solidity,4,L,expected
7,4,efficiency,4,R,unexpected
8,1,solidity,4,R,unexpected
8,2,support,4,L,expected
8,3,efficiency,2,R,unexpected
8,4,goal,2,L,expected
9,1,support,4,R,unexpected
9,2,goal,4,L,expected
9,3,solidity,2,R,unexpected
9,4,efficiency,2,L,expected
10,1,solidity,4,R,unexpected
10,2,support,2,L,expected
10,3,efficiency,2,L,expected
10,4,goal,4,R,unexpected
11,1,efficiency,4,L,expected
11,2,solidity,2,L,expected
11,3,goal,2,R,unexpected
11,4,support,4,R,unexpected
12,1,goal,4,L,expected
12,2,efficiency,4,R,unexpected
12,3,support,2,R,unexpected
12,4,solidity,2,L,expected
13,1,solidity,2,L,expected
13,2,support,4,R,unexpected
13,3,efficiency,4,R,unexpected
13,4,goal,2,L,expected
14,1,support,2,L,expected
14,2,goal,2,R,unexpected
14,3,solidity,4,R,unexpected
14,4,efficiency,4,L,expected
15,1,goal,2,R,unexpected
15,2,efficiency,2,R,unexpected
15,3,support,4,L,expected
15,4,solidity,4,L,expected
16,1,efficiency,4,R,unexpected
16,2,solidity,2,R,unexpected
16,3,goal,4,L,expected
16,4,support,2,L,expected
17,1,efficiency,2,L,expected
17,2,solidity,4,L,expected
17,3,goal,4,R,unexpected
17,4,support,2,R,unexpected
18,1,goal,4,L,expected
18,2,efficiency,2,L,expected
18,3,support,4,R,unexpected
18,4,solidity,2,R,unexpected
19,1,solidity,4,L,expected
19,2,support,2,R,unexpected
19,3,efficiency,4,R,unexpected
19,4,goal,2,L,expected
20,1,support,4,R,unexpected
20,2,goal,2,R,unexpected
20,3,solidity,2,L,expected
20,4,efficiency,4,L,expected
21,1,solidity,2,R,unexpected
21,2,support,4,R,unexpected
21,3,efficiency,2,L,expected
21,4,goal,4,L,expected
22,1,efficiency,4,L,expected
22,2,solidity,2,R,unexpected
22,3,goal,4,R,unexpected
22,4,support,2,L,expected
23,1,goal,4,R,unexpected
23,2,efficiency,2,R,unexpected
23,3,support,2,L,expected
23,4,solidity,4,L,expected
24,1,support,4,L,expected
24,2,goal,2,L,expected
24,3,solidity,4,R,unexpected
24,4,efficiency,2,R,unexpected
25,1,efficiency,4,L,expected
25,2,solidity,2,R,unexpected
25,3,goal,2,R,unexpected
25,4,support,4,L,expected
26,1,goal,2,L,expected
26,2,efficiency,4,L,expected
26,3,support,2,R,unexpected
26,4,solidity,4,R,unexpected
27,1,support,2,R,unexpected
27,2,goal,4,L,expected
27,3,solidity,2,L,expected
27,4,efficiency,4,R,unexpected
28,1,solidity,4,R,unexpected
28,2,support,2,L,expected
28,3,efficiency,2,R,unexpected
28,4,goal,4,L,expected
29,1,efficiency,2,L,expected
29,2,solidity,2,L,expected
29,3,goal,4,R,unexpected
29,4,support,4,R,unexpected
30,1,support,4,L,expected
30,2,goal,2,R,unexpected
30,3,solidity,4,L,expected
30,4,efficiency,2,R,unexpected
31,1,goal,4,L,expected
31,2,efficiency,2,R,unexpected
31,3,support,2,L,expected
31,4,solidity,4,R,unexpected
32,1,solidity,2,R,unexpected
32,2,support,2,L,expected
32,3,efficiency,4,L,expected
32,4,goal,4,R,unexpected
33,1,solidity,4,L,expected
33,2,support,2,L,expected
33,3,efficiency,4,R,unexpected
33,4,goal,2,R,unexpected
34,1,support,4,R,unexpected
34,2,goal,2,L,expected
34,3,solidity,4,L,expected
34,4,efficiency,2,R,unexpected
35,1,efficiency,2,L,expected
35,2,solidity,2,L,expected
35,3,goal,4,R,unexpected
35,4,support,4,R,unexpected
36,1,goal,2,L,expected
36,2,efficiency,4,L,expected
36,3,support,4,R,unexpected
36,4,solidity,2,R,unexpected
37,1,goal,2,R,unexpected
37,2,efficiency,4,L,expected
37,3,support,2,L,expected
37,4,solidity,4,R,unexpected
38,1,efficiency,2,R,unexpected
38,2,solidity,4,R,unexpected
38,3,goal,2,L,expected
38,4,support,4,L,expected
39,1,solidity,2,L,expected
39,2,support,2,R,unexpected
39,3,efficiency,4,R,unexpected
39,4,goal,4,L,expected
40,1,support,2,R,unexpected
40,2,goal,4,L,expected
40,3,solidity,4,R,unexpected
40,4,efficiency,2,L,expected
41,1,solidity,2,L,expected
41,2,support,4,L,expected
41,3,efficiency,2,R,unexpected
41,4,goal,4,R,unexpected
42,1,efficiency,4,L,expected
42,2,solidity,2,L,expected
42,3,goal,2,R,unexpected
42,4,support,4,R,unexpected
43,1,support,2,L,expected
43,2,goal,4,L,expected
43,3,solidity,2,R,unexpected
43,4,efficiency,4,R,unexpected
44,1,goal,2,L,expected
44,2,efficiency,4,L,expected
44,3,support,2,R,unexpected
44,4,solidity,4,R,unexpected
45,1,solidity,2,L,expected
45,2,support,4,L,expected
45,3,efficiency,4,R,unexpected
45,4,goal,2,R,unexpected
46,1,goal,4,L,expected
46,2,efficiency,2,R,unexpected
46,3,support,4,R,unexpected
46,4,solidity,2,L,expected
47,1,support,4,R,unexpected
47,2,goal,2,R,unexpected
47,3,solidity,4,L,expected
47,4,efficiency,2,L,expected
48,1,efficiency,2,L,expected
48,2,solidity,4,R,unexpected
48,3,goal,4,R,unexpected
48,4,support,2,L,expected
49,1,goal,4,R,unexpected
49,2,efficiency,4,R,unexpected
49,3,support,2,L,expected
49,4,solidity,2,L,expected
50,1,efficiency,4,R,unexpected
50,2,solidity,4,R,unexpected
50,3,goal,2,L,expected
50,4,support,2,L,expected
51,1,solidity,2,L,expected
51,2,support,4,R,unexpected
51,3,efficiency,2,R,unexpected
51,4,goal,4,L,expected
52,1,support,4,R,unexpected
52,2,goal,2,R,unexpected
52,3,solidity,4,L,expected
52,4,efficiency,2,L,expected
53,1,support,2,R,unexpected
53,2,goal,4,L,expected
53,3,solidity,4,R,unexpected
53,4,efficiency,2,L,expected
54,1,efficiency,4,L,expected
54,2,solidity,2,R,unexpected
54,3,goal,2,R,unexpected
54,4,support,4,L,expected
55,1,solidity,2,R,unexpected
55,2,support,4,L,expected
55,3,efficiency,2,L,expected
55,4,goal,4,R,unexpected
56,1,goal,4,L,expected
56,2,efficiency,2,R,unexpected
56,3,support,2,L,expected
56,4,solidity,4,R,unexpected
57,1,solidity,2,R,unexpected
57,2,support,2,R,unexpected
57,3,efficiency,4,L,expected
57,4,goal,4,L,expected
58,1,support,4,L,expected
58,2,goal,2,R,unexpected
58,3,solidity,2,L,expected
58,4,efficiency,4,R,unexpected
59,1,efficiency,4,R,unexpected
59,2,solidity,4,L,expected
59,3,goal,2,L,expected
59,4,support,2,R,unexpected
60,1,goal,2,R,unexpected
60,2,efficiency,2,L,expected
60,3,support,4,R,unexpected
60,4,solidity,4,L,expected
61,1,efficiency,2,L,expected
61,2,solidity,2,R,unexpected
61,3,goal,4,L,expected
61,4,support,4,R,unexpected
62,1,solidity,2,L,expected
62,2,support,4,L,expected
62,3,efficiency,4,R,unexpected
62,4,goal,2,R,unexpected
63,1,goal,2,R,unexpected
63,2,efficiency,2,L,expected
63,3,support,4,L,expected
63,4,solidity,4,R,unexpected
