participant_id,block_position,violation_type,rep_level,expected_side,preview_first
1,1,goal,2,L,expected
1,2,efficiency,4,L,expected
1,3,solidity,4,R,unexpected
1,4,support,2,R,unexpected
2,1,solidity,4,R,unexpected
2,2,support,4,R,unexpected
2,3,goal,2,L,expected
2,4,efficiency,2,L,expected
3,1,efficiency,4,R,unexpected
3,2,solidity,2,R,unexpected
3,3,support,2,L,expected
3,4,goal,4,L,expected
4,1,efficiency,2,L,expected
4,2,solidity,4,L,expected
4,3,support,4,R,unexpected
4,4,goal,2,R,unexpected
5,1,goal,2,L,expected
5,2,efficiency,4,R,unexpected
5,3,solidity,2,R,unexpected
5,4,support,4,L,expected
6,1,support,2,R,unexpected
6,2,goal,4,L,expected
6,3,efficiency,2,L,expected
6,4,solidity,4,R,unexpected
7,1,goal,2,L,expected
7,2,efficiency,2,R,unexpected
7,3,solidity,4,L,expected
7,4,support,4,R,unexpected
8,1,support,4,L,expected
8,2,goal,2,R,unexpected
8,3,efficiency,2,R,unexpected
8,4,solidity,4,L,expected
9,1,goal,4,R,unexpected
9,2,efficiency,2,L,expected
9,3,solidity,2,R,unexpected
9,4,support,4,L,expected
10,1,goal,4,R,unexpected
10,2,efficiency,2,R,unexpected
10,3,solidity,4,L,expected
10,4,support,2,L,expected
11,1,solidity,2,L,expected
11,2,support,4,R,unexpected
11,3,goal,2,L,expected
11,4,efficiency,4,R,unexpected
12,1,goal,4,R,unexpected
12,2,efficiency,4,L,expected
12,3,solidity,2,L,expected
12,4,support,2,R,unexpected
13,1,efficiency,4,R,unexpected
13,2,solidity,4,L,expected
13,3,support,2,L,expected
13,4,goal,2,R,unexpected
14,1,support,2,R,unexpected
14,2,goal,4,L,expected
14,3,efficiency,4,R,unexpected
14,4,solidity,2,L,expected
15,1,support,2,L,expected
15,2,goal,2,R,unexpected
15,3,efficiency,4,L,expected
15,4,solidity,4,R,unexpected
16,1,solidity,2,L,expected
16,2,support,4,R,unexpected
16,3,goal,4,R,unexpected
16,4,efficiency,2,L,expected
17,1,efficiency,2,R,unexpected
17,2,solidity,4,L,expected
17,3,support,2,R,unexpected
17,4,goal,4,L,expected
18,1,solidity,4,R,unexpected
18,2,support,2,L,expected
18,3,goal,4,R,unexpected
18,4,efficiency,2,L,expected
19,1,efficiency,4,L,expected
19,2,solidity,2,R,unexpected
19,3,support,4,L,expected
19,4,goal,2,R,unexpected
20,1,support,4,R,unexpected
20,2,goal,2,R,unexpected
20,3,efficiency,4,L,expected
20,4,solidity,2,L,expected
21,1,support,4,L,expected
21,2,goal,4,L,expected
21,3,efficiency,2,R,unexpected
21,4,solidity,2,R,unexpected
22,1,solidity,2,L,expected
22,2,support,2,L,expected
22,3,goal,4,R,unexpected
22,4,efficiency,4,R,unexpected
23,1,solidity,4,R,unexpected
23,2,support,2,L,expected
23,3,goal,2,L,expected
23,4,efficiency,4,R,unexpected
24,1,efficiency,2,L,expected
24,2,solidity,2,R,unexpected
24,3,support,4,R,unexpected
24,4,goal,4,L,expected
25,1,support,2,L,expected
25,2,goal,2,R,unexpected
25,3,efficiency,4,L,expected
25,4,solidity,4,R,unexpected
26,1,efficiency,2,L,expected
26,2,solidity,4,L,expected
26,3,support,4,R,unexpected
26,4,goal,2,R,unexpected
27,1,support,4,R,unexpected
27,2,goal,2,R,unexpected
27,3,efficiency,4,L,expected
27,4,solidity,2,L,expected
28,1,solidity,4,R,unexpected
28,2,support,2,L,expected
28,3,goal,2,L,expected
28,4,efficiency,4,R,unexpected
29,1,efficiency,4,R,unexpected
29,2,solidity,4,L,expected
29,3,support,2,L,expected
29,4,goal,2,R,unexpected
30,1,solidity,2,L,expected
30,2,support,4,R,unexpected
30,3,goal,4,R,unexpected
30,4,efficiency,2,L,expected
31,1,goal,4,R,unexpected
31,2,efficiency,2,R,unexpected
31,3,solidity,4,L,expected
31,4,support,2,L,expected
32,1,goal,2,L,expected
32,2,efficiency,2,R,unexpected
32,3,solidity,4,L,expected
32,4,support,4,R,unexpected
33,1,efficiency,4,L,expected
33,2,solidity,2,R,unexpected
33,3,support,4,L,expected
33,4,goal,2,R,unexpected
34,1,support,4,L,expected
34,2,goal,2,R,unexpected
34,3,efficiency,2,R,unexpected
34,4,solidity,4,L,expected
35,1,goal,2,L,expected
35,2,efficiency,4,L,expected
35,3,solidity,4,R,unexpected
35,4,support,2,R,unexpected
36,1,goal,4,R,unexpected
36,2,efficiency,2,L,expected
36,3,solidity,2,R,unexpected
36,4,support,4,L,expected
37,1,solidity,2,L,expected
37,2,support,4,R,unexpected
37,3,goal,2,L,expected
37,4,efficiency,4,R,unexpected
38,1,efficiency,2,L,expected
38,2,solidity,2,R,unexpected
38,3,support,4,R,unexpected
38,4,goal,4,L,expected
39,1,goal,4,R,unexpected
39,2,efficiency,4,L,expected
39,3,solidity,2,L,expected
39,4,support,2,R,unexpected
40,1,support,2,R,unexpected
40,2,goal,4,L,expected
40,3,efficiency,4,R,unexpected
40,4,solidity,2,L,expected
41,1,solidity,4,R,unexpected
41,2,support,2,L,expected
41,3,goal,4,R,unexpected
41,4,efficiency,2,L,expected
42,1,efficiency,2,R,unexpected
42,2,solidity,4,L,expected
42,3,support,2,R,unexpected
42,4,goal,4,L,expected
43,1,support,2,R,unexpected
43,2,goal,4,L,expected
43,3,efficiency,2,L,expected
43,4,solidity,4,R,unexpected
44,1,goal,2,L,expected
44,2,efficiency,4,R,unexpected
44,3,solidity,2,R,unexpected
44,4,support,4,L,expected
45,1,solidity,4,R,unexpected
45,2,support,4,R,unexpected
45,3,goal,2,L,expected
45,4,efficiency,2,L,expected
46,1,solidity,2,L,expected
46,2,support,2,L,expected
46,3,goal,4,R,unexpected
46,4,efficiency,4,R,unexpected
47,1,support,4,L,expected
47,2,goal,4,L,expected
47,3,efficiency,2,R,unexpected
47,4,solidity,2,R,unexpected
48,1,efficiency,4,R,unexpected
48,2,solidity,2,R,unexpected
48,3,support,2,L,expected
48,4,goal,4,L,expected
49,1,solidity,2,L,expected
49,2,support,2,L,expected
49,3,goal,4,R,unexpected
49,4,efficiency,4,R,unexpected
50,1,efficiency,4,R,unexpected
50,2,solidity,2,R,unexpected
50,3,support,2,L,expected
50,4,goal,4,L,expected
51,1,solidity,4,R,unexpected
51,2,support,4,R,unexpected
51,3,goal,2,L,expected
51,4,efficiency,2,L,expected
52,1,support,4,L,expected
52,2,goal,4,L,expected
52,3,efficiency,2,R,unexpected
52,4,solidity,2,R,unexpected
53,1,support,4,R,unexpected
53,2,goal,2,R,unexpected
53,3,efficiency,4,L,expected
53,4,solidity,2,L,expected
54,1,efficiency,2,L,expected
54,2,solidity,2,R,unexpected
54,3,support,4,R,unexpected
54,4,goal,4,L,expected
55,1,goal,4,R,unexpected
55,2,efficiency,2,R,unexpected
55,3,solidity,4,L,expected
55,4,support,2,L,expected
56,1,efficiency,4,R,unexpected
56,2,solidity,4,L,expected
56,3,support,2,L,expected
56,4,goal,2,R,unexpected
57,1,goal,4,R,unexpected
57,2,efficiency,2,L,expected
57,3,solidity,2,R,unexpected
57,4,support,4,L,expected
58,1,goal,2,L,expected
58,2,efficiency,4,R,unexpected
58,3,solidity,2,R,unexpected
58,4,support,4,L,expected
59,1,goal,2,L,expected
59,2,efficiency,4,L,expected
59,3,solidity,4,R,unexpected
59,4,support,2,R,unexpected
60,1,solidity,4,R,unexpected
60,2,support,2,L,expected
60,3,goal,4,R,unexpected
60,4,efficiency,2,L,expected
61,1,efficiency,2,L,expected
61,2,solidity,4,L,expected
61,3,support,4,R,unexpected
61,4,goal,2,R,unexpected
62,1,solidity,4,R,unexpected
62,2,support,2,L,expected
62,3,goal,2,L,expected
62,4,efficiency,4,R,unexpected
63,1,support,2,R,unexpected
63,2,goal,4,L,expected
63,3,efficiency,2,L,expected
63,4,solidity,4,R,unexpected
64,1,solidity,2,L,expected
64,2,support,4,R,unexpected
64,3,goal,2,L,expected
64,4,efficiency,4,R,unexpected
65,1,efficiency,2,R,unexpected
65,2,solidity,4,L,expected
65,3,support,2,R,unexpected
65,4,goal,4,L,expected
66,1,support,2,R,unexpected
66,2,goal,4,L,expected
66,3,efficiency,4,R,unexpected
66,4,solidity,2,L,expected
67,1,support,4,L,expected
67,2,goal,2,R,unexpected
67,3,efficiency,2,R,unexpected
67,4,solidity,4,L,expected
68,1,efficiency,4,L,expected
68,2,solidity,2,R,unexpected
68,3,support,4,L,expected
68,4,goal,2,R,unexpected
69,1,support,2,L,expected
69,2,goal,2,R,unexpected
69,3,efficiency,4,L,expected
69,4,solidity,4,R,unexpected
70,1,goal,2,L,expected
70,2,efficiency,2,R,unexpected
70,3,solidity,4,L,expected
70,4,support,4,R,unexpected
71,1,solidity,2,L,expected
71,2,support,4,R,unexpected
71,3,goal,4,R,unexpected
71,4,efficiency,2,L,expected
72,1,goal,4,R,unexpected
72,2,efficiency,4,L,expected
72,3,solidity,2,L,expected
72,4,support,2,R,unexpected
73,1,goal,4,R,unexpected
73,2,efficiency,4,L,expected
73,3,solidity,2,L,expected
73,4,support,2,R,unexpected
74,1,support,4,L,expected
74,2,goal,2,R,unexpected
74,3,efficiency,2,R,unexpected
74,4,solidity,4,L,expected
75,1,goal,2,L,expected
75,2,efficiency,4,R,unexpected
75,3,solidity,2,R,unexpected
75,4,support,4,L,expected
76,1,support,2,L,expected
76,2,goal,2,R,unexpected
76,3,efficiency,4,L,expected
76,4,solidity,4,R,unexpected
77,1,efficiency,4,L,expected
77,2,solidity,2,R,unexpected
77,3,support,4,L,expected
77,4,goal,2,R,unexpected
78,1,goal,4,R,unexpected
78,2,efficiency,2,L,expected
78,3,solidity,2,R,unexpected
78,4,support,4,L,expected
79,1,solidity,2,L,expected
79,2,support,4,R,unexpected
79,3,goal,2,L,expected
79,4,efficiency,4,R,unexpected
80,1,solidity,2,L,expected
80,2,support,2,L,expected
80,3,goal,4,R,unexpected
80,4,efficiency,4,R,unexpected
81,1,goal,2,L,expected
81,2,efficiency,4,L,expected
81,3,solidity,4,R,unexpected
81,4,support,2,R,unexpected
82,1,solidity,4,R,unexpected
82,2,support,2,L,expected
82,3,goal,2,L,expected
82,4,efficiency,4,R,unexpected
83,1,efficiency,2,R,unexpected
83,2,solidity,4,L,expected
83,3,support,2,R,unexpected
83,4,goal,4,L,expected
84,1,support,2,R,unexpected
84,2,goal,4,L,expected
84,3,efficiency,2,L,expected
84,4,solidity,4,R,unexpected
85,1,solidity,4,R,unexpected
85,2,support,2,L,expected
85,3,goal,4,R,unexpected
85,4,efficiency,2,L,expected
86,1,efficiency,2,L,expected
86,2,solidity,4,L,expected
86,3,support,4,R,unexpected
86,4,goal,2,R,unexpected
87,1,goal,4,R,unexpected
87,2,efficiency,2,R,unexpected
87,3,solidity,4,L,expected
87,4,support,2,L,expected
88,1,efficiency,4,R,unexpected
88,2,solidity,2,R,unexpected
88,3,support,2,L,expected
88,4,goal,4,L,expected
89,1,support,4,R,unexpected
89,2,goal,2,R,unexpected
89,3,efficiency,4,L,expected
89,4,solidity,2,L,expected
90,1,goal,2,L,expected
90,2,efficiency,2,R,unexpected
90,3,solidity,4,L,expected
90,4,support,4,R,unexpected
91,1,solidity,4,R,unexpected
91,2,support,4,R,unexpected
91,3,goal,2,L,expected
91,4,efficiency,2,L,expected
92,1,solidity,2,L,expected
92,2,support,4,R,unexpected
92,3,goal,4,R,unexpected
92,4,efficiency,2,L,expected
93,1,efficiency,2,L,expected
93,2,solidity,2,R,unexpected
93,3,support,4,R,unexpected
93,4,goal,4,L,expected
94,1,support,4,L,expected
94,2,goal,4,L,expected
94,3,efficiency,2,R,unexpected
94,4,solidity,2,R,unexpected
95,1,efficiency,4,R,unexpected
95,2,solidity,4,L,expected
95,3,support,2,L,expected
95,4,goal,2,R,unexpected
96,1,support,2,R,unexpected
96,2,goal,4,L,expected
96,3,efficiency,4,R,unexpected
96,4,solidity,2,L,expected
97,1,support,2,L,expected
97,2,goal,2,R,unexpected
97,3,efficiency,4,L,expected
97,4,solidity,4,R,unexpected
98,1,support,4,R,unexpected
98,2,goal,2,R,unexpected
98,3,efficiency,4,L,expected
98,4,solidity,2,L,expected
99,1,solidity,2,L,expected
